index,推荐人ID,推荐课程名称,老师（博主）名称,4.推荐课程对应领域,课程所在平台,跳转链接,推荐理由,推荐日期
177,晁17,爵士钢琴入门,Peter Martin,音乐-钢琴,b站 up主：Groove菌,【「钢琴」爵士钢琴入门 - Peter Martin-哔哩哔哩】 https://b23.tv/66GgXoi,适合有一定钢琴基础 特别是练耳基础的人学习 教学方式主要是自己听 记,
178,月半瑾瑜,初级会计职称,对啊网,会计,B站,BV1tJ411m7bs,里面的老师讲课都挺好的，但就是大章容易换人，就会出现一下差距，但课程还是很有帮助的,
179,北方的星辰,Excel教学,PAPAYA电脑教室,Excel,B站,https://space.bilibili.com/402780815/channel/seriesdetail?sid=310160,这个老师讲的特别好，其他的课程还没学，只是暂时学习了Excel，所以只推荐了这个，但是以这位老师的讲课程度来说，其他课程绝对也很棒的,
180,柯昂康,前端学习/pr学习,村长,vue/视频后期,无,,,
181,羲之力,书法,黄简,书法学术,B站,BV1Xt411s7Nh,讲的非常非常的细，把书法掰碎了，揉碎的讲给你听。,
182,XiuMin,英语,唐迟,英语,无,,,
183,墨泰,1小时教你搞定Excel随机选取,王佩丰,办公软件,网易云课堂,https://study.163.com/course/introduction/670032.htm?inLoc=ss_ssjg_tjlb_%E7%8E%8B%E4%BD%A9%E4%B8%B0,快速学习excel办公软件,
184,丸子tinateena,英语干货（雅思学习）,丸子,雅思以及英语学习,b站,https://space.bilibili.com/27694399?from=search&seid=15713265492256567856&spm_id_from=333.337.0.0,不知道那个网站能不能进去，但是如果不行那就只能搜索了。我在备考雅思的时候无意间发现的up主，up主在香港教英文的老师，本身很厉害，再加上长期从事英文教学所以较能把控大家的弱点，在学习方面可以给出一点建议,
185,ORZERO12,solidworks新手到高级机械工程师必备教程,王江平,机械,B站,BV16E411d723,实打实的经验教程，避开软件冗长的介绍、直接将实用。高级技巧手把手交给你,
186,...,（,...,○,无,,,
187,游欸一,Vocabulary in use 剑桥词汇在用,烤鸭TV,英语,B站,https://www.bilibili.com/video/BV1HC4y1W7L4?spm_id_from=333.999.0.0,老师干货满满，除剑桥词汇在用外还有雅思和四六级的干货,
188,piapia,3D建模,忘了,cg技术,无,,,
189,htfc786,【C语言】《带你学C带你飞》,小甲鱼（uid314076440）,编程-C语言,b站,https://www.bilibili.com/video/BV17s411N78s,very good，篇向c语言初学者,
190,南沐风同学,C4D入门课程,李翔,传媒/C4D,B站,https://www.bilibili.com/video/BV177411P7d1,"李翔老师这个课程真的很好上手,而且还很详细.",
191,鸡蛋酱油仔,数学公式解释证明,Cuemath,数学,Cuemath,https://www.cuemath.com/math-formulas/,这里汇集了许多数学公式的证明，基本每个证明都有清晰明了的作图，包括三角函数，甚至(a+b)平方也有图形理解，简直一目了然！可以帮助对溯源公式/证明公式有兴趣的同学,
192,无名,MAD剪辑入门/AE入门,柏吃支醉,视频后期,B站,https://www.bilibili.com/video/BV1Us411Y7Kj,讲解详细、视频有趣，适合新手入门，第0期请选择性观看，目前只有4期，博主计划以后完善教程(猴年马月),
193,123,工业机器人基础/电子信息技术基础/PLC原理与应用,左湘,电子与信息技术,智慧职教,,,
194,无罔千山,《金融经济学二十五讲》,徐高,金融经济学,B站,https://www.bilibili.com/video/BV1Bx411d714?from=search&seid=13141027565363904481&spm_id_from=333.337.0.0,,
195,无罔千山,《金融经济学二十五讲》,徐高,金融经济学,B站,https://www.bilibili.com/video/BV1Bx411d714?from=search&seid=13141027565363904481&spm_id_from=333.337.0.0,,
196,3D建模系统教学,3dmax游戏建模教程,哈瑞,游戏建模,B站,https://www.bilibili.com/video/BV1T64y1c7qa?spm_id_from=333.999.0.0,零基础开始学习游戏建模,
197,爷可是传说啊,韩语发音,相东芳,韩语,B站,https://www.bilibili.com/video/BV1Gx411E7Z3?spm_id_from=333.999.0.0,看她！史上最全的免费韩语教程了！学习要用毅力，特别是学语言，一起加油吧~,
198,卡卡,高中数学,无,数学,B站,,,
199,1111111,针灸,方法,针头,无,,,
200,未已哒,英语单词倍速学习,TUO图欧君,英语单词,B站：TUO图欧君,https://space.bilibili.com/36184593/video,各阶段英语单词倍速学习，还有日语,
201,12123,刑法学,罗翔,视频后期,B站,,,
202,逍遥,了凡四训精讲,郭继承,中国传统文化（国学？）,不知道...,https://www.bilibili.com/video/BV1DE41187nU?p=2,郭老师的讲解很有热情，深入简出，对命运道理的解释非常到位,
203,逍遥,弟子规精讲,蔡礼旭,中国传统文化,不知道..,https://www.bilibili.com/video/BV1tJ411U73w?spm_id_from=333.999.0.0,弟子规在各地都能盛行是有一定原因的，结合蔡老师的讲解大家会对弟子规有一个全新的认识，也会对自己的人生有一个新的方向！,
204,下大雨,英语,英语的平行世界,英语,B站,https://space.bilibili.com/388576777/,从基础到扎实，讲解很清晰明了而且像我英语烂到极致都可以听懂，良心推荐,
205,gl,c++或者前端，java,不大理解,计算机科学与技术,无,,,
206,739527709,吉他教学,随便,。。,、、、,,,
207,Jay-超人不会飞,实用机器学习/人工智能,李沫,python/人工智能/机器学习,B站,https://space.bilibili.com/1567748478/channel/seriesdetail?sid=358496,亚马逊科学家 讲的很不错 还有答疑课,
