index,推荐博主名称,博主涉及领域,平台及链接,推荐人ID,推荐理由,推荐时间
86,小灰灰大人,动物/鸟类,[B站](https://space.bilibili.com/362831543),光脉之酒,“一个臭讲动物的，up主许下宏愿要做出全网最有价值的动物科普频道，感谢有你一起见证！”,2021-12-17 21:00:58
87,H2元素实验室,化学,[B站](https://space.bilibili.com/414878461),西方塞马, , 
88,赵峥讲物理,北师大物理教授,[B站](https://space.bilibili.com/670860565),斯巴达117士官长,北师大物理教授,2021-02-07 00:00:00
89,Chubbyemu,医学,[B站](https://space.bilibili.com/297786973),Fae,有一些医学生活，常识，也能通俗的表达出来,2021-12-20 18:47:52
90,Chubbyemu,医学+英语,B站,传说真相,“这是他身体里发生的变化”这个梗的由来，生动讲述每个奇葩医学案例，为医学英语学习者和医学生提供一个良好的学习专业名词的平台。, 
91,兔叭咯,医学/健康,[B站](https://space.bilibili.com/7788379),CNtei,bilibili 2020百大UP主、知名UP主,2021-12-15 21:19:23
92,xgkyokou,医学临床科研数据分析,[B站](https://space.bilibili.com/21783065/video),bili_2056689,医学临床数据分析及队列研究，临床课题研究思路提供及发掘,2021-12-18 19:26:25
93,有Li,医学影像组学,[B站](https://space.bilibili.com/542601735),龙哥哥,医学影像组学入门教程,2021-12-21 04:02:23
94,世界卫生组织,卫生,[B站](https://space.bilibili.com/500367550),CNtei,世界卫生组织（World Health Organization，简称世卫组织或WHO）,2021-12-15 21:26:32
95,深圳卫健委,卫生,[B站](https://space.bilibili.com/698057488),CNtei,大家好，我是深小卫(๑˃̵ᴗ˂̵)一起变强变美变优秀！,2022-01-01 02:31:31
96,乌鸦校尉CaptainWuya,历史,[B站](https://space.bilibili.com/521249172), ,基于事实和档案重新解构近现代中国历史,2021年1月18日14:16:42
97,于赓哲老师,历史,[B站](https://www.bilibili.com/video/BV1qf4y1a7JQ),猫妖十二, ,2021-12-19 07:29:44
98,史图馆,历史,B站,星海的游吟诗人,多位历史同好联合创作，视频内容优质,2021-01-18 00:00:00
99,唠点历史,历史,[B站](https://space.bilibili.com/10698584),密斯特Li,长视频的历史up主内容优质,2021-12-19 21:49:48
100,御史房,历史,B站,星海的游吟诗人,在解读历史和历史人物时，常有自己对历史独到的见解，使人耳目一新。,2021-01-18 00:00:00
101,没脸鉴人,历史,[B站](https://www.bilibili.com/video/BV19Z4y1X7X2),猫妖十二,历史辟谣,2021-12-19 07:31:54
102,稚嫩的魔法师,历史,[B站](https://space.bilibili.com/1276787),来自星星的大羊驼,以游戏沙盘形式读西晋至东晋历史,2021-12-25 22:30:50
103,草说木言,历史,[B站](https://space.bilibili.com/477433087),粉色的雪落下,很专业，唯物史观，内容做的非常好。,2021-12-18 09:16:12
104,讲历史的赵冬梅,历史,[B站](https://space.bilibili.com/1575033396),游欸一,北大历史系教授入驻B站啦,2021-12-31 15:44:18
105,专心种花兔,历史/军事/地理,[B站](https://space.bilibili.com/451196839),光脉之酒,纸上谈兵区up主，致力于将历史上破碎的帝国在当今重新整合，不论如何，都仅次于“大毛”,2021-12-17 21:33:00
106,钱丢丢-,历史/神话,[B站](https://space.bilibili.com/12820125),光脉之酒,“笑谈天下惊鬼神，指点江山奇古今。你好，我是钱丢丢，一个古先贤文明神话的讲述者。”,2021-12-17 21:03:28
107,小约翰可汗,历史事件和人物,B站,24爵,另类角度解读历史事件和人物，保证让你捧腹,2021-12-16 17:48:20
108,文采飘逸的归来,历史学专业讲座,[B站](https://space.bilibili.com/486009552),lei0513,历史学专业讲座，与上面推荐的up主的同时食用效果更佳,2021-02-06 00:00:00
109,历史系の沙丁鱼_llz,历史学专业讲座课程,[B站](https://space.bilibili.com/375069183),lei0513,历史学专业讲座课程,2021-02-06 00:00:00
110,一马当先陈玉成,历史科普,[B站](https://space.bilibili.com/58008614), ,硬核历史科普，UP铁骨铮铮(五毛一条括号内···,2021年1月18日14:20:21
111,七哥侃历史,历史，通俗讲解大宋，蒙古，隋朝，魏晋南北朝等历史,[其他](https://www.douyin.com/user/MS4wLjABAAAApayR-oYHoLGKhFAW0ek42ddSnMhwkrsLH4N2G8ZWQJg),15083426321,有趣，易懂的讲解中国历史,2021-12-23 17:55:00
112,鹿哥来了-,古典音乐科普,B站,花栗鼠de,浅显易懂，生动有趣，但是鹿哥已经快一年没更新了,2021-12-19 15:09:23
113,中科院格致论道讲坛,各种尖端科学论道,[B站](http://space.bilibili.com/447261734),中医雨霁,中科院格致论道讲坛由中国科学院全力推出的科学文化讲坛，由中国科学院计算机网络信息中心和中国科学院科学传播局联合主办。致力于非凡思想的跨界传播，旨在以“格物致知”的精神探讨科技、教育、生活、未来的发展。,2021-02-07 00:00:00
114,元子弹吉他,吉他,[B站](https://space.bilibili.com/326251291),翎羽灬赟丿233,学习吉他可以去了解元子老师，真的挺好的。,2021-12-17 17:31:28
115,老姚吉他,吉他,[B站](https://space.bilibili.com/88685018),奇酱酱,对吉他初学者十分友好，不仅有歌曲教学还有乐理~,2021-12-20 19:24:23
116,果木浪子,吉他弹唱,B站,桃良,适合初学者入门,2021-12-18 11:47:55
