index,推荐课程名称,授课老师,课程对应专业,平台及链接,推荐人ID,推荐人专业,推荐语,推荐日期
729,《python语言基础与应用》,陈斌,计算机,[中国大学MOOC](https://www.icourse163.org/course/PKU-1003479006),黑暗河流上的闪光,英语,python基础，自己全靠这位老师入门的python,2021-02-08 00:00:00
730,《pytorch深度学习实践》,刘洪普,计算机,[B站](https://www.bilibili.com/video/av97078147),δ,资源勘查,"反正就是以前没看懂, 这次看懂了",2021-02-08 00:00:00
731,《【小白入门 通俗易懂】2021韩顺平 一周学会Linux》,韩顺平,计算机,B站,为了樱岛麻衣--,大数据,,2021-12-17 16:07:06
732,《复变函数与积分变换》,翔翔的学习频道,计算机,[B站](https://www.bilibili.com/video/BV13K4y1h7wC),在学程序员小刘,人工智能,就算临时抱佛脚也要努力听懂啊，学长讲的特别的易懂还有各种各样的题型，看不懂的地方一定要自己多看几遍，不要看着弹幕就以为up主讲的不好，一定要多思考思考。,2021-12-21 16:38:57
733,《尚硅谷Java入门视频教程(在线答疑+Java面试真题)》,宋红康,计算机,B站,为了樱岛麻衣--,大数据,尚硅谷懂得都懂，而且还有免费在线答疑,2021-12-17 16:14:47
734,《操作系统》,向勇、陈渝,计算机,[其他](https://github.com/chyyuu/os_course_info),冒蓝火的哒哒哒哒王,测控技术与仪器,极其适合入门和考研，条例清晰，还有一个Demo的操作系统学习。,2021-02-07 00:00:00
735,《数据库》,不知,计算机,无,心心念念,计算机,,2021-12-21 00:20:52
736,《数据库系统》,战德臣,计算机,中国大学MOOC,上网课大学的不知名大学生,计算机科学与技术,适合上这门课的专业和非专业人士学习、借鉴，就是音质不怎么好。,2021-12-24 16:32:19
737,《数据结构》,陈越和何钦铭,计算机,B站,Echo,计算机类(数据科学与大数据技术）,通俗易懂, 
738,《数据结构》,青岛大学-王卓（B站有号）,计算机,[B站](https://space.bilibili.com/40323036),Mr.Swin,计算机,我自己看了觉得讲的都能理解。,2022-02-06 21:46:30
739,《数据结构与算法python版》,陈斌,计算机,[中国大学MOOC](https://www.icourse163.org/course/PKU-1206307812),黑暗河流上的闪光,英语,python进阶，看了绝不让你失望,2021-02-08 00:00:00
740,《数据结构与算法基础》,王卓,计算机,[B站](https://www.bilibili.com/video/BV1nJ411V7bd),Brynn1285,计算机科学与技术,动态演示算法过程清晰，老师对各种算法表述清楚,2021-01-19 00:00:00
741,《数据结构与算法基础》,王卓,计算机,[B站](https://www.bilibili.com/video/BV1nJ411V7bd),Stack_Overflow-,计算机,讲的细致入微，条理清晰。,2021-02-08 00:00:00
