index,推荐课程名称,授课老师,课程对应专业,平台及链接,推荐人ID,推荐人专业,推荐语,推荐日期
339,《线性代数》,李永乐,数学,无,老千sir,数学,,2021-12-21 17:31:13
340,《线性代数》,Gilbert Strang,数学,[网易公开课](http://open.163.com/special/opencourse/daishu.html),麦克思维,非数学,虽然是英文但教授讲的很清楚，推荐假期自学，考前临时抱佛脚的避雷,2021-02-07 00:00:00
341,《线性代数的本质》,3Blue1Brown,数学,[YOUTUBE](https://www.bilibili.com/video/BV1ys411472E),blues,信息管理与信息系统,讲到了线代的本质，我甚至觉得数学十分有趣，和国内的教育不同，他更侧重能力,2022-03-26 18:12:24
342,《高等代数》,feierlich,数学,B站,张新成是宝藏男孩,统计,北大老师 讲的特别清楚 逻辑清晰 全程老师只有声音不露脸,2021-12-18 10:08:26
343,《高等数学》,国防科技大学,数学,[B站](https://www.bilibili.com/video/BV14t411x7Md),12346,机械类,mooc上的学习已关闭，有大佬整理发在b站上, 
344,《高等数学》,胡煜,数学,无,viovio,高等数学,(空),2021年2月17日18:00:12
345,《实变函数》,b站up主ModuliSpace,数学与应用数学,B站,乌漆麻黑,数学与应用数学,up主自制的，讲的不全面但是重点要点都讲了，跟细致很清晰很透彻！真的醍醐灌顶！对于更深理解之前学的数学分析之类的也很有用！,2021-01-17 00:00:00
346,《近世代数/抽象代数》,b站up主无尽沙砾,数学与应用数学,B站,乌漆麻黑,数学与应用数学,up主自制的，讲的很细致，拯救了我的近世代数。但是还没讲完，up主还在更新拓扑学之类的视频，需要或者感兴趣的可以去康康,2021-01-17 00:00:00
347,《Intro to Database Systems》,,数据库,B站,Doubllllllz,软件工程,,2021-02-08 00:00:00
348,《数据挖掘：理论与算法（国家级精品课）》,袁博,数据科学,[学堂在线](https://www.bilibili.com/video/BV154411Q7mG),世界现存最可爱人类,数据科学与大数据技术,,2021-02-07 00:00:00
349,《Java基础教程》,黑马,数据科学与大数据技术,[B站](https://www.bilibili.com/video/BV1th411D794),L,数据科学与大数据技术,还不错, 
350,《数据库原理》,张宇，,数据科学与大数据技术专业,B站,张府,数据科学与大数据技术专业,,2021-12-21 21:54:15
351,《java数据结构与算法》,**,数据结构,[B站](https://www.bilibili.com/video/BV1E4411H73v),风-城-烟-雨,java数据结构与算法,为数据不多的使用java来实现数据结构和算法问题的。,2021-02-09 00:00:00
352,《数据结构》,王道课程,数据结构,[B站](https://www.bilibili.com/video/BV1b7411N798),假动作丶False,计算机科学,别的不说，讲数据结构这一块非常系统，全程干货,2021-02-07 00:00:00
353,《数据结构入门》,郝斌,数据结构,[无](https://www.bilibili.com/video/BV11s41167h6),途中奶酪,自动化,老师是带领我们学习的导游。虽说视频老了，但知识永不过时。,2021-12-22 11:58:43
354,《数字电路与逻辑设计》,任爱锋,数电,[超星](http://ssvideo.superlib.com/cxvideo/play/page;jsessionid=0E1A6CEBFCEE2A806C2E9C232E85516F.cxvideo_web_18.30?sid=5913&vid=89557&cid=222&d=c0f868dd2b521a825f3a54d37d48072a),如水行年,信息工程,老师讲课条理清晰且易懂，内容详实,2021-01-31 00:00:00
355,《传统武术文化开发》,贾岛,文化产业经营与管理,[B站](https://space.bilibili.com/2910534/channel/detail), ,文化、旅游类,从商业和休闲角度，以传统武术文化为典型，思考传统文化,2021-02-09 00:00:00
356,《中国传统文化和生态文明》,刘经纬 许婕（东北林业大学）,文学,无,和_光_,汉语言文学,, 
357,《中国古代文学史》,,文学,[爱课程](http://www.icourses.cn/sCourse/course_3106.html),ZCild,汉语言文学,国家级精品课程,2021-02-08 00:00:00
358,《中国现当代文学》,朱栋霖,文学,[爱课程](http://www.icourses.cn/sCourse/course_2644.html),ZCild,汉语言文学,《中国现代文学史1915-2018》上下册的主编“朱栋霖”教授,2021-02-08 00:00:00
359,《中国现当代文学史》,,文学,[爱课程](http://www.icourses.cn/sCourse/course_6363.html),ZCild,汉语言文学,国家级精品课程,2021-02-08 00:00:00
360,《中国传统节日与民俗文化》,王金禾,文学/民俗学/社会学/写作,[中国大学MOOC](https://www.icourse163.org/course/HGSFXY-1206152803?from=searchPage),洋猪,汉语言文学,这是我的大学老师所开设的一门课程，课程介绍了中国传统的14个节日的非常详细的相关内容，比如由来啊 有关传说啊等等，是研究民俗学、古代文学、社会学等多方面的宝贵资源。同时我认为中国人，真的不能忘记自己的节日，不能在推崇洋节，而遗忘掉我们自己的节日了。,2021-12-20 20:55:55
361,《古代文论》,杨宁,文学理论,[B站](https://www.bilibili.com/video/BV1o7411L73E),ZCild,汉语言文学,何止文学理论，作为中文系学生真的受益匪浅,2021-02-08 00:00:00
362,《文学理论》,孙文宪,文学理论,[爱课程](http://www.icourses.cn/sCourse/course_6947.html),ZCild,汉语言文学,教材：《文学理论导引》，王先霈、孙文宪著，高等教育出版社||说明：原课程只录制了第一到五章，第六章“文学活动”只有PPT没有课程录像,2021-02-08 00:00:00
363,《文学理论》,杨宁,文学理论,[B站](https://www.bilibili.com/video/BV1LE411e7NE),ZCild,汉语言文学,何止文学理论，作为中文系学生真的受益匪浅,2021-02-08 00:00:00
364,《文学理论课程全集》,西竹书院杨宁老师,文学理论,[B站](https://www.bilibili.com/video/BV1LE411e7NE),地表最强土拨鼠,汉语言文学,理论解释通透，老师幽默且全程板书，很适合习惯记系统笔记的同学，人文社科的学生都可以听一下,2021-02-07 00:00:00
365,《西方文论》,杨宁,文学理论,[B站](https://www.bilibili.com/video/BV19J411S7Us),ZCild,汉语言文学,何止文学理论，作为中文系学生真的受益匪浅,2021-02-08 00:00:00
366,《文学理论》,杨宁,文学类,[B站](https://www.bilibili.com/video/BV1LE411e7NE),佳明,汉语言文学,学到的何止是文学理论,2021-01-16 00:00:00
367,《红楼梦》,欧丽娟,文学类,[B站](http://ocw.aca.ntu.edu.tw/ntu-ocw/index.php/ocw/cou/101S120/7),寻光,历史学,系统、全面、深刻，而且让我有醍醐灌顶之感,2021-01-16 00:00:00
368,《文献管理与信息分析》,罗昭锋,文献管理与信息分析,中国大学MOOC,Tian.H,工程力学,建议即将步入研究生的同学利用暑假学习。,2021-02-09 00:00:00
369,《文献管理与信息分析》,罗昭锋,文献管理与信息分析,中国大学MOOC,渣方是个沙雕鸭,化学,,2021-01-18 00:00:00
370,《文学文本解读+文学理论+文学批评)》,,文艺学,[爱课程](http://www.icourses.cn/sCourse/course_6947.html),ZCild,汉语言文学,,2021-02-08 00:00:00
371,《文学理论》,杨宁,文艺学,B站,西竹書院杨宁老师,汉语言文学类,体验传统的那个逃离PowerPoint上课的时代,2021-12-31 07:22:02
372,《燃料电池》,马元,新能源,[B站](https://space.bilibili.com/402425088/channel/seriesdetail),我是故乡你在哪里,材料,少有的燃料电池相关课程，本人原创,2021-12-24 12:24:08
373,《传播学理论》,[老师没有讲她的名字诶],新闻与传播专业,[B站](https://www.bilibili.com/video/BV1dy4y1U7TG),@幻月夏音123,日语[跨考新传],陈学雄版本, 
374,《传播统计学》,艾小艾来自地球（up）,新闻与传播学,[B站](https://www.bilibili.com/video/BV114411177V),我不喜欢吃甜的,新闻与传播学,老师自己录制，清楚易懂,2021-01-19 00:00:00
375,《传播心理学》,潘亚楠,新闻传播学,中国大学MOOC,七月既望,新闻学,心理学和传播学交叉，适合新传专业学生学习，也适合大众学习,2021-02-10 00:00:00
376,《心理学》,无,无,无,狗熊带花,无,,2021-12-19 17:19:48
377,《数学分析》,无,无,无,哈哈尔,无,无,2021-12-18 03:18:49
378,《无机化学 高等数学》,宋天佑 宋浩,无机化学 高数,B站,吓死神秘人,应用化学,都是跟着他们自学的,2021-01-15 00:00:00
379,《无机材料科学基础》,宋晓岚,无机非金属材料,[中国大学MOOC](https://www.icourse163.org/course/CSU-1455417172),Spark099,无机非金属材料工程,中南大学无机非金属材料工程专业与武科并列全国第一，但在本课程上中南更甚一筹，本课程是材料类相关专业的主干课程和核心学科基础课程，本课程有对应教材可供参考，为宋晓岚著《无机材料科学基础》，化学工业出版社出版,2021-02-09 00:00:00
380,《N2语法》,日语之森林,日语,[B站](https://www.bilibili.com/video/BV1Us411v7xa),ZCild,汉语言文学,老师超级超级超级可爱，而且双语教学,2021-02-08 00:00:00
381,《【日语之森】三十六天学会 N2 语法》,小雪老师,日语,[B站](https://www.bilibili.com/video/BV1ex411u7W4),白七花鸟猴,日语,用日本人的方法讲解语法，不会像蓝宝书那么的无趣。,2021-02-07 00:00:00
382,《【日语之森】十四天学会 N2 汉字》,小雪老师,日语,[B站](https://www.bilibili.com/video/BV1cx411g7pS),白七花鸟猴,日语,日本人用日语讲解日本汉字，生动有趣，因为全程日语上课所以比较适合日语有一定基础的人。,2021-02-07 00:00:00
383,《新日语能力考试考前对策N3词汇 上【夏夏日语赠课】》,夏夏老师（B站ID：xiaxiariyu）,日语,学习强国,传说真相,金融,, 
384,《新标准日本语》,叶子老师,日语,[B站](https://www.bilibili.com/video/BV1es41127PE),NiKi,新标准日本语（B站）,此视频共为43节课程，每节约为1.5h，适合入门及自学者学习。（学习之前建议先学习五十音图）,2021-02-08 00:00:00
385,《新标准日本语》,偏头鱼喵,日语,[B站](https://www.bilibili.com/video/BV1uJ411p7pR),NiKi,新标准日本语（2）,精讲日本语,2021-02-08 00:00:00
386,《日语精讲》,hero3046,日语,[B站](https://space.bilibili.com/65988295),乐安Ran,商务日语,适合入门和考级的同学。非常好宝藏日语老师！入门 红蓝宝书 新日本语都涵盖，往年真题大部分也有，讲的也非常细。,2021-12-21 14:16:00
387,《日语考级N5—N1》,周业繁,日语,B站,星梦红尘s,日语,,2022-01-01 10:28:19
388,《标准日本语》,教日语的阿飞老师（b站）,日语,[B站](https://www.bilibili.com/video/BV1Bp4y1D747),槐序十五,英语,视频简短且完整，适合自学，貌似在不断更新，截止填表日期已经更新到29课。同时还有纠正发音课，听力课，朗读课等，个人感觉很适合第二外语的同学自学。,2021-01-16 00:00:00
389,《老版新日语基础教程—浙江大学张向荣第01-258讲》,张向荣,日语,无,六个小兵打酱油,日语新手开始学日语,老师讲的非常详细，只要认真跟着学，上手学会日语并不难,2021-12-15 20:33:52
390,《路径规划与轨迹跟踪系列算法学习》,小黎的Ally,智能汽车路径规划,[B站](https://www.bilibili.com/video/BV19T4y1M7uR),Doubllllllz,软件工程,TIPS：不适合零基础的智能算法学习（B站为数不多讲人工势场法的老师）(已更新至B样条曲线）,2021-02-08 00:00:00
391,《有机化学》,楼上工具人（真名：傅云涛）,有机化学,[B站](https://www.bilibili.com/video/BV1DL4y1i7Ac),bilibili——楼上工具人（也是作者）,药学（基础药学理科基地）,up主本人作为本科在读生，对于中国药科大学的有机化学知识点、考纲、历年试卷进行了比较深入的研究之后，完成的视频系列。其中讲解由最基础的入手，不用担心知识基础。由于精力等原因，视频制作前后拉的占线很长，导致格式不一致。, 
392,《有机化学》,曹敏惠、江洪,有机化学,[中国大学MOOC](http://163.lu/WkrXP0),南坊二狗子,有机化学,复习时发现，强推曹敏惠老师的课时，曹老师讲课非常有亲和力，而且清晰明白，曹老师很有人格魅力，大爱。,2021-02-08 00:00:00
393,《有机化学》,李艳梅,有机化学,[学堂在线](https://www.xuetangx.com/course/THU07031000429/5883025?channel=search_result),天気,生物技术,条理很清晰，重点也很清楚,2021-01-17 00:00:00
394,《有机化学》,张文勤,有机化学,中国大学MOOC,惊雀鸣蝉,材料科学与工程,简单易懂（确信）,2021-01-16 00:00:00
395,《有机化学》,李艳梅,有机化学,[学堂在线](https://www.xuetangx.com/course/THU07031000429/5883025?channel=search_result),无,药学,看过都说好,2021-01-16 00:00:00
396,《有机化学》,李艳梅,有机化学,[学堂在线](https://www.xuetangx.com/course/THU07031000429/5883025?channel=search_result),皓仔,应用化学,条理清晰，逻辑性强,2021-01-20 00:00:00
397,《有机化学》,李艳梅,有机化学,[学堂在线](https://www.xuetangx.com/course/THU07031000429/5883025?channel=search_result),邪王真眼eye,计算化学,清华的，你说牛不牛？,2021-01-14 00:00:00
398,《有机化学先修课系列》,B站up主楼上工具人,有机化学,[B站](https://www.bilibili.com/video/BV1at4y1B7Ju),某常见物质,有机化学,以学生视角制作的网课，低起点起步讲解基础知识，课程链接可能会再次更新,2021-02-09 00:00:00
399,《金融》,未知,未知,其他,隐退1987,未知,,2021-12-22 11:51:29
400,《(上海交通大学张志华)机器学习导论》,B站零基础学UI设计,机器学习导论,[B站](https://www.bilibili.com/video/BV1jt411b76n),氧离子di,通信工程,个人觉得很详细，有趣,2021-06-17 00:00:00
401,《有限元分析及应用》,曾攀,机械,[学堂在线](https://www.xuetangx.com/course/THU08021000430/5883028?channel=search_result),没钱买自行车只好打的,机械,有限元良心课程,2021-02-01 00:00:00
402,《机械原理》,,机械,[B站](https://www.icourse163.org/course/NWPU-20007),何必标一名,机械,,2021-02-08 00:00:00
403,《机械设计》,,机械,[B站](https://www.icourse163.org/course/NWPU-17001),何必标一名,机械,,2021-02-08 00:00:00
404,《微机原理与接口技术》,吴宁,机械/计算机,[中国大学MOOC](https://www.icourse163.org/course/XJTU-1001647001),清贵疏离天上仙,机械工程,最好配合吴宁老师编写的书和实验指导书（有课后答案），认真学完可以不用去学校上这门课,2021-01-23 00:00:00
